"id","user","aviso","pedido","pedido_cliente","item","ordem","cliente","quant_a_fat","quant_fat","quant","entrega","data_saida","codprod","descricao","desenho","matriz","statuspv","statusav"
"8888","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7089","WEG_ITAJAI","12",NULL,NULL,"2024-03-01",NULL,"17729859-160","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.160","100011810034-160","SIM","0","0"
"8889","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7090","WEG_ITAJAI","2",NULL,NULL,"2024-03-01",NULL,"17729859-161","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.161","100011810034-161","SIM","0","0"
"8890","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7091","WEG_ITAJAI","2",NULL,NULL,"2024-03-01",NULL,"17729859-161-1","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.161-1","10011810034-161","SIM","0","0"
"8891","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7092","WEG_ITAJAI","4",NULL,NULL,"2024-03-01",NULL,"17729859-161-2","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.161-2","10011810034-161","SIM","0","0"
"8892","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7093","WEG_ITAJAI","20",NULL,NULL,"2024-03-01",NULL,"17729859-162","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.162","10011810034-162","SIM","0","0"
"8893","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7094","WEG_ITAJAI","20",NULL,NULL,"2024-03-01",NULL,"17729859-162-1","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.162-1","10011810034-162","SIM","0","0"
"8894","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7095","WEG_ITAJAI","20",NULL,NULL,"2024-03-01",NULL,"17729859-162-2","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.162-2","10011810034-162","SIM","0","0"
"8895","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7096","WEG_ITAJAI","4",NULL,NULL,"2024-03-01",NULL,"17729859-163","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.163","10011810034-163","SIM","0","0"
"8896","ANA GABRIELA","045/24","2133","4515242598-70",NULL,"7104","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15972529","MANCAL DA FACA","10008515441","SIM","0","0"
"8897","ANA GABRIELA",NULL,"2133","4515242598-70",NULL,"7105","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15972529-1","MANCAL DA FACA POS.1","10008515441","SIM","0","0"
